duration,amplitude_max,dominant_frequency,spectral_centroid,zero_crossing_rate,file_name,duration_seconds,label
14.43002267573696,0.18186504,49.341571804816105,2319.189048777113,0.0831915067323151,IMG_6888.wav,14.43002267573696,long
11.33002267573696,0.27667433,946.8648304626802,3141.6368657420685,0.1847384093237705,IMG_9205.wav,11.33002267573696,medium
16.27002267573696,0.14723842,303.4414947289786,2370.669832821592,0.0983284203370185,IMG_0043 2.wav,16.27002267573696,long
5.3,0.1423471,383.20754716981133,3144.337994344854,0.136872270742358,IMG_6678.wav,5.3,short
10.6,0.22944969,776.9811320754718,2950.691121572029,0.15222622059628,IMG_9239.wav,10.6,medium
8.130022675736962,0.21067294,970.9690015451812,2999.7244078810195,0.1557728476673789,IMG_9238.wav,8.130022675736962,medium
6.0,0.088939965,60.166666666666664,1567.213441398132,0.0361610913368725,IMG_0187 2.wav,6.0,short
5.090022675736962,0.106345594,303.1420679823584,3324.95590303781,0.1591863458806818,IMG_6679.wav,5.090022675736962,short
14.950022675736962,0.23438817,56.38787433868853,2507.890425826353,0.1229513417119565,IMG_6889.wav,14.950022675736962,long
10.27002267573696,0.24869247,911.0009096770204,3030.679588071528,0.1594287880925508,IMG_9204.wav,10.27002267573696,medium
13.07002267573696,0.31807786,764.6505478948209,3458.094887217955,0.1903481627442273,IMG_9210.wav,13.07002267573696,long
6.090022675736962,0.14802793,109.52340172022193,2514.662884739023,0.1073234761169201,IMG_6876.wav,6.090022675736962,short
3.4,0.16677831,97.64705882352942,1978.6131170741528,0.0870303199404761,IMG_6862.wav,3.4,short
14.7,0.1956889,377.4149659863945,2749.404114608043,0.1102691554120662,IMG_6686.wav,14.7,long
9.27002267573696,0.0682936,63.53814015381303,2172.1650165355845,0.07813720703125,IMG_0022 2.wav,9.27002267573696,medium
16.97002267573696,0.19997281,933.5874384335189,3004.587678946537,0.1747372231959644,IMG_9172.wav,16.97002267573696,long
7.6,0.53109026,875.0,2707.5455981325367,0.1594669993330792,IMG_9166.wav,7.6,short
23.0,0.4390881,1077.8260869565215,3267.1218521131286,0.1969773863206357,IMG_9199.wav,23.0,long
9.01002267573696,0.8928542,108.21282421692143,1780.7344528576953,0.0580966821979434,IMG_6296.wav,9.01002267573696,medium
11.07002267573696,0.040576816,301.08339410227205,3055.3831309099105,0.1675050363600629,IMG_9995 2.wav,11.07002267573696,medium
25.47002267573696,0.48990017,764.0747025537113,2174.9996210765053,0.0969320625854603,IMG_0147 2.wav,25.47002267573696,long
7.3100226757369615,0.18060067,160.60141699651334,2406.9339208082956,0.110418216765873,IMG_6902.wav,7.3100226757369615,short
14.58,0.31949598,68.10699588477367,2554.3466291195946,0.1086954493431528,IMG_6916.wav,14.58,long
