duration,amplitude_max,dominant_frequency,spectral_centroid,zero_crossing_rate,file_name
18.0,0.11355591,110.94444444444444,671.1267113358243,0.03186098079091495,IMG_6892.wav
18.0,0.13031006,228.38888888888889,2326.0720771957995,0.10573050902061856,IMG_0174 2.wav
18.0,0.07281494,228.55555555555554,1021.6636746354225,0.04829453930412371,IMG_0189 2.wav
18.0,0.20806885,71.6111111111111,675.2815070173527,0.018633970280283504,IMG_6879.wav
18.0,0.19000244,379.4444444444444,1938.7161509880589,0.07794504067332474,IMG_6689.wav
18.0,0.347229,116.38888888888889,642.206847317627,0.02948060969716495,IMG_6306.wav
18.0,0.6253357,1057.2222222222222,1590.1431503681645,0.08754895397068299,IMG_9141.wav
18.0,0.31567383,98.38888888888889,1167.762819367593,0.061021313224871136,IMG_9155.wav
18.0,0.040374756,303.55555555555554,1540.5080984397227,0.0749499134181701,IMG_0011 2.wav
18.0,0.13973999,960.6666666666666,1873.3144055291436,0.10966884966978092,IMG_9169.wav
18.0,0.40551758,938.6111111111111,2442.619255948909,0.12730926828286082,IMG_9182.wav
18.0,0.153656,1048.5555555555554,1315.623919711085,0.0827831779558634,IMG_9196.wav
18.0,0.4432068,48.888888888888886,1447.6661758558853,0.06432224548969072,IMG_6299.wav
18.0,0.18655396,788.5555555555555,1544.610986692587,0.07071017235824742,IMG_6919.wav
18.0,0.23062134,103.44444444444444,558.9246553804713,0.026140665270618556,IMG_6931.wav
18.0,0.13458252,49.44444444444444,662.6459964864428,0.02996008174935567,IMG_6925.wav
18.0,0.3708191,785.2777777777777,2275.7083831744776,0.10853749697970361,IMG_0149 2.wav
18.0,0.18569946,82.44444444444444,573.6447969887327,0.02478090266591495,IMG_6933.wav
18.0,0.22332764,49.44444444444444,641.849111382434,0.028517890222293816,IMG_6927.wav
18.0,0.04135132,300.27777777777777,1660.329144996101,0.07915945151417526,IMG_0013 2.wav
18.0,0.17208862,934.2777777777777,1412.4697220784396,0.07942183976320877,IMG_9180.wav
18.0,0.0395813,60.5,1441.3982042798107,0.05748001570554124,IMG_9999 2.wav
18.0,0.16189575,883.5555555555555,2207.302524171261,0.12095783666237113,IMG_9194.wav
18.0,0.3302002,826.6666666666666,2071.338464510836,0.11242990395457474,IMG_9143.wav
18.0,0.39312744,991.5555555555555,2735.6280182397377,0.14396997825386598,IMG_9157.wav
18.0,0.09555054,294.9444444444444,2244.0466571186475,0.09093734898518041,IMG_0133 2.wav
18.0,0.2507019,800.8333333333333,2357.6990517744425,0.10561787713434279,IMG_0176 2.wav
18.0,0.6737976,97.83333333333333,1122.0598841136125,0.048968442936533504,IMG_6304.wav
18.0,0.2579651,47.61111111111111,1993.8496589428985,0.09308679325064433,IMG_6884.wav
18.0,0.32287598,834.6666666666666,2651.2262360322025,0.15299500140947164,IMG_9209.wav
18.0,0.2904358,87.44444444444444,1679.4380989697859,0.061515886759020616,IMG_6890.wav
18.0,0.45465088,97.33333333333333,1165.6724618213275,0.057126389336340205,IMG_9235.wav
18.0,0.13858032,97.88888888888889,509.26981739245485,0.021644199017396906,IMG_9221.wav
18.0,0.278656,377.38888888888886,1180.5502814822069,0.053941235099871136,IMG_6674.wav
18.0,0.17297363,804.4444444444443,2774.3176563324446,0.14205397773034795,IMG_9220.wav
18.0,0.13656616,370.05555555555554,1665.8685500250133,0.0757666519007732,IMG_6675.wav
18.0,0.07284546,60.11111111111111,1580.9770740179538,0.05149731193621134,IMG_9980 2.wav
18.0,0.475708,1342.7222222222222,670.059608192507,0.03574080319748711,IMG_9234.wav
18.0,0.31021118,76.66666666666666,1301.7403012766174,0.03679350233569588,IMG_6891.wav
18.0,0.035095215,65.66666666666666,1606.78794608925,0.046745378946520616,IMG_0117 2.wav
18.0,0.3555603,52.666666666666664,1634.9620083100576,0.06563859133376289,IMG_6885.wav
18.0,0.17730713,685.2222222222222,2341.8123465000317,0.10663596870972938,IMG_0152 2.wav
18.0,0.28231812,911.0,1190.743352244665,0.06947814312177836,IMG_9208.wav
18.0,0.16119385,879.8333333333333,1045.5869767642855,0.05090269108408505,IMG_0216 2.wav
18.0,0.6677246,97.83333333333333,1924.6877032280827,0.07061704655283506,IMG_6305.wav
18.0,0.3387146,1600.8888888888887,1414.7162652061006,0.08058213696037371,IMG_9156.wav
18.0,0.24420166,800.4444444444443,2651.8122580434806,0.14788126208118557,IMG_9142.wav
18.0,0.023895264,44.27777777777778,1961.3851763469038,0.07395573252255154,IMG_0037 2.wav
18.0,0.22479248,897.2222222222222,2700.1267984634546,0.14811155968105671,IMG_9195.wav
18.0,0.42507935,930.0555555555555,1600.735302067815,0.0832337055009665,IMG_9181.wav
18.0,0.046569824,279.38888888888886,1224.6351564325857,0.06279951272551547,IMG_0192 2.wav
18.0,0.13571167,49.44444444444444,658.2661394351015,0.030518836581829897,IMG_6926.wav
18.0,0.21942139,49.44444444444444,627.2059505792824,0.02957436473099227,IMG_6932.wav
18.0,0.22320557,62.166666666666664,1903.8111146738781,0.07609636759020619,IMG_6917.wav
18.0,0.15640259,78.33333333333333,942.2972164761951,0.04017245892396907,IMG_6903.wav
18.0,0.33969116,81.27777777777777,1124.4936437253928,0.045737355025773196,IMG_6297.wav
18.0,0.22601318,751.7222222222222,3132.7601841266805,0.18378629389497422,IMG_9198.wav
18.0,0.31088257,770.4444444444445,2327.183658329744,0.10862558895779639,IMG_0163 2.wav
18.0,0.15664673,490.38888888888886,978.8345431896656,0.05932113804768041,IMG_9167.wav
18.0,0.10308838,847.3333333333333,2274.789734626751,0.1016040290753866,IMG_0126 2.wav
18.0,0.35995483,981.2777777777777,1306.0343846622548,0.08090367268041238,IMG_9173.wav
18.0,0.2262268,395.77777777777777,2776.1224378123675,0.1093517185486469,IMG_6687.wav
18.0,0.12823486,94.5,393.3065349862459,0.013816597535438145,IMG_6863.wav
18.0,0.2895813,84.22222222222221,963.6180715494083,0.037213826916881444,IMG_6877.wav
18.0,0.5930481,1036.2777777777778,1059.773701111064,0.05690867630476804,IMG_9211.wav
18.0,0.05456543,305.1111111111111,1762.9613216314501,0.08914845260148196,IMG_0006 2.wav
18.0,0.18188477,49.22222222222222,1864.3486273093424,0.06668688587306701,IMG_6888.wav
18.0,0.27667236,946.8333333333333,1988.2536020949763,0.11626064654478092,IMG_9205.wav
18.0,0.14724731,303.4444444444444,2155.327603904862,0.08885523216011598,IMG_0043 2.wav
18.0,0.1423645,383.16666666666663,937.1679434946403,0.0404040149806701,IMG_6678.wav
18.0,0.22943115,777.0,1747.4545684717868,0.08969713977931701,IMG_9239.wav
18.0,0.21066284,950.4444444444443,1364.7245262131955,0.0704773578447165,IMG_9238.wav
18.0,0.08892822,60.22222222222222,532.1506626294989,0.012071747140786083,IMG_0187 2.wav
18.0,0.10635376,303.22222222222223,952.3351823209781,0.04516664485341495,IMG_6679.wav
18.0,0.23440552,56.388888888888886,2085.024257004622,0.10208601804123711,IMG_6889.wav
18.0,0.24868774,966.7222222222222,1742.1509185952702,0.09104872241462629,IMG_9204.wav
18.0,0.31808472,764.6666666666666,2522.6031416393735,0.13823770739368557,IMG_9210.wav
18.0,0.14804077,109.55555555555554,856.8926240411329,0.03639394229220361,IMG_6876.wav
18.0,0.16677856,97.66666666666666,380.35544572571547,0.016503402867268042,IMG_6862.wav
18.0,0.19567871,377.38888888888886,2268.4894525347136,0.0901073967058634,IMG_6686.wav
18.0,0.06829834,63.27777777777777,1131.9603849726293,0.04029390000805412,IMG_0022 2.wav
18.0,0.19995117,933.6111111111111,2835.5415030557147,0.16470871758215205,IMG_9172.wav
